"Gene","Analysis.ID","Relatedness","adjusted_expression"
"LOC102915842","F2Mc_Rep4","50",0.344612878203041
"LOC102915842","F2Mc_Rep5","50",0.121030834854936
"LOC102915842","F2Mc_Rep6","50",0.273122966026842
"LOC102915842","F2Mc_Rep7","50",0.181858392484496
"LOC102915842","F2Mc_Rep8","50",0.121030834854936
"LOC102915842","F2Mm_Rep1","50",-0.0765465078254446
"LOC102915842","F2Mm_Rep2","50",-0.0765465078254446
"LOC102915842","F2Mm_Rep4","50",0.109830721233974
"LOC102915842","F2Mm_Rep5","50",0.0999546406786944
"LOC102915842","F2Mm_Rep6","50",0.451571176189084
"LOC102915842","F2Mm_Rep7","50",-0.0106646542928997
"LOC102915842","F2Mm_Rep8","50",-0.0765465078254446
"Irgc","F1Fc_Rep1","0",0.283373284841016
"Irgc","F1Fc_Rep2","0",0.227237783571114
"Irgc","F1Fc_Rep3","0",0.216050826088623
"Irgc","F1Fc_Rep4","0",-0.0255348690463169
"Irgc","F1Fc_Rep5","0",0.179967120628423
"Irgc","F1Fc_Rep6","0",-0.0255348690463169
"Irgc","F1Fc_Rep7","0",-0.0255348690463169
"Irgc","F1Fc_Rep8","0",-0.0255348690463169
"Irgc","F1Fm_Rep1","0",0.11482297429248
"Irgc","F1Fm_Rep2","0",0.277279565595457
"Irgc","F1Fm_Rep3","0",0.149888831679718
"Irgc","F1Fm_Rep4","0",0.0585959996812309
"Irgc","F1Fm_Rep5","0",0.301473121573238
"Irgc","F1Fm_Rep6","0",-0.0254826078969247
"Irgc","F1Fm_Rep7","0",-0.0254826078969247
"Irgc","F1Fm_Rep8","0",0.0359598996945843
"Irgc","F1Mc_Rep1","0",0.098478030170112
"Irgc","F1Mc_Rep2","0",0.115883618390655
"Irgc","F1Mc_Rep3","0",0.0254826078969247
"Irgc","F1Mc_Rep4","0",0.0254826078969247
"Irgc","F1Mc_Rep5","0",0.0254826078969247
"Irgc","F1Mc_Rep6","0",0.159041386115402
"Irgc","F1Mc_Rep7","0",0.0254826078969247
"Irgc","F1Mc_Rep8","0",0.0254826078969247
"Irgc","F1Mm_Rep1","0",0.102931086664812
"Irgc","F1Mm_Rep2","0",0.12246082286637
"Irgc","F1Mm_Rep3","0",0.0255348690463168
"Irgc","F1Mm_Rep4","0",0.0255348690463168
"Irgc","F1Mm_Rep5","0",0.0939351175327072
"Irgc","F1Mm_Rep6","0",0.0255348690463168
"Irgc","F1Mm_Rep7","0",0.0255348690463168
"Irgc","F1Mm_Rep8","0",0.0255348690463168
"Irgc","F2Fc_Rep1","50",-0.0255348690463169
"Irgc","F2Fc_Rep2","50",-0.0255348690463169
"Irgc","F2Fc_Rep3","50",-0.0255348690463169
"Irgc","F2Fc_Rep4","50",-0.0255348690463169
"Irgc","F2Fc_Rep5","50",-0.0255348690463169
"Irgc","F2Fc_Rep7","50",-0.0255348690463169
"Irgc","F2Fc_Rep8","50",-0.0255348690463169
"Irgc","F2Fm_Rep1","50",-0.0254826078969247
